type,address,name,legit
1,0xa0246c9032bc3a600820415ae600c6388619a14d,FARM,1
1,0x31429d1856ad1377a8a0079410b297e1a9e214c2,ANGLE,1
1,0x408e41876cccdc0f92210600ef50372656052a38,REN,1
1,0x8a6d4c8735371ebaf8874fbd518b56edd66024eb,BLOCKS,1
1,0x2d787d4f5005bd66ac910c2e821241625c406ed5,BERRY,1
1,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,1
1,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,GUSD,1
2,0x160c404b2b49cbc3240055ceaee026df1e8497a0,GHOST,1
1,0x8798249c2e607446efb7ad49ec89dd1865ff4272,xSUSHI,1
1,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,LUNA,1
1,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,SAITAMA,1
2,0xc9d198089d6c31d0ca5cc5b92c97a57a97bbfde2,SPR,1
2,0x60e4d786628fea6478f785a6d7e704777c86a7c6,MAYC,1
1,0xd56c42e2adc844080eb7e13ad66ade8600470179,D1-MAYC-fl,1
2,0xf169fdc02b9a4009a8307497e5fce2999024e0c7,AVAC,1
1,0x7b32982a32bb71150fcaa99bfbaddd72c1775a10,HASH,1
2,0x5bd815fd6c096bab38b4c6553cfce3585194dff9,TAOS,1
2,0x02d4ccfb596ac2a8b1878d3bf8a390730f42bba7,Baby Okay Bears,1
3,0xb50b3d5b519e5df96275a09deccc6080dc0800d9,RKTPASS,1
2,0x2eb4f7625aad8c521e3600ee38fb8f82751e8870,SKULLZ,1
2,0xf8d4fef9af82de6e57f6aabafd49ff9730242d75,spaceboo,1
2,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,OTHR,1
3,0xffbc81170340cc12444615e14a39cc4240244a9c,WOODIESSPECIAL,1
2,0xa1d4657e0e6507d5a94d06da93e94dc7c8c44b51,WEBBLAND,1
2,0xf220db48f0d3ca8a9833e0353e7497dbceae7ac6,KARA-GACHA,1
1,0xaab679e21a9c73a02c9ed33bbb6bb9e59f11afa9,SMOL,1
2,0x2b6d79281338a796efaafda3db8229ece4d6f72d,PSK,1
2,0x6f9eb87f5a5638a3424c68ffae824608671f4ea6,REACTOR,1
2,0x970d5e0bd5c4f193fccf7fd579590c5f5c69b2d9,Fortune,1
2,0x09690d8af5afcc78cfc62ef6dfa2c3f89818ef97,LL,1
1,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,OGN,1
2,0xd271353b0866f3b57611e29580afbb59ed4bc759,POKEMON,1
1,0x41e5560054824ea6b0732e656e3ad64e20e94e45,CVC,1
1,0x45804880de22913dafe09f4980848ece6ecbaf78,PAXG,1
1,0xcfef8857e9c80e3440a823971420f7fa5f62f020,CFTI,1
1,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,CRO,1
1,0x777e2ae845272a2f540ebf6a3d03734a5a8f618e,RYOSHI,1
2,0x396882c0f9f26c3e425a2b5888a6e0e75bc06234,xmp,1
1,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,NU,1
1,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,agEUR,1
1,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,Metis,1
2,0xa1769a3b2f806903b09a454c0277f48edc6d4e5e,PLov,1
1,0x2a06b59d35db5668e8914886943a4643e88c76f3,ZENDOR,1
1,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,1
1,0x89fcb32f29e509cc42d0c8b6f058c993013a843f,SDS,1
1,0x57ab1ec28d129707052df4df418d58a2d46d5f51,sUSD,1
1,0xdb25f211ab05b1c97d595516f45794528a807ad8,EURS,1
1,0x3472a5a71965499acd81997a54bba8d852c6e53d,BADGER,1
2,0xe5af63234f93afd72a8b9114803e33f6d9766956,fRiENDSiES,1
2,0x7093431941e810bec79575bad211d5d83d1e552a,OMB,1
2,0x252c4b998fc3b3dd6e13f6868477f37a855f9e6e,RFC.X,1
1,0x3dd98c8a089dbcff7e8fc8d4f532bd493501ab7f,TOWN,1
1,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,GALA,1
2,0xa17f63bcd85fd3b01c5996da0327f84c6ae86a82,RBN,1
2,0xb4d06d46a8285f4ec79fd294f78a881799d8ced9,3L,1
2,0xd098c59d5d4a1ac3909f6093d0cf565314ecd240,SW,1
2,0x7c4fa5d6a6ad98195ec60678ac4048e5531618c6,BBC,1
1,0x7f2ba02184ea19d781431c003a955d2f85cb6636,FFLY,1
2,0x1a55378fc44cf67cb698969582f8c54aa65be41e,HEROESOFCINEMABYJOSEDELBO,1
2,0x5d32e097999bd45f86953abe2b3bf11b4b7ef2ee,FAMOUSNFTSBYJONBURGERMAN,1
2,0xc8cc20febe260c62a9717534442d4e499f9de741,Component 3,1
2,0x7cb90567a118cd9f6ca326067a0813b289bdcb54,ATSNFT,1
2,0x8796c06b50eb4ffd389bed6ed401c764ba89a4af,DT,1
1,0x0b498ff89709d3838a063f1dfa463091f9801c2b,BTC2x-FLI,1
1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,1
1,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,QSP,1
1,0x9813037ee2218799597d83d4a5b6f3b6778218d9,BONE,1
1,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,1
1,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,LUNA,1
1,0x55af5865807b196bd0197e0902746f31fbccfa58,BOO,1
1,0xed04915c23f00a313a544955524eb7dbd823143d,ACH,1
2,0x5fa92f015dde2787a14d5bc9768acced3d819a16,Shrouded,1
1,0xceaf7747579696a2f0bb206a14210e3c9e6fb269,UST_whv23CRV-f,1
2,0x11111111384122718f7a44d48290bb70a3a9f793,POCHI,1
1,0xa2881f7f441267042f9778ffa0d4f834693426be,HUSL,1
1,0x430ef9263e76dae63c84292c3409d61c598e9682,PYR,1
1,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,GLM,1
1,0x9d71ce49ab8a0e6d2a1e7bfb89374c9392fd6804,Nvir,1
2,0x5501024ddb740266fa0d69d19809ec86db5e3f8b,PA,1
2,0x0eed0a2b4df338fc1bca6115e4100592632d14cd,MQ,1
2,0xeed10864e9fd813d12a0f40eb5f73ff2d31b2abb,WORLD,1
1,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,OM,1
1,0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,1
1,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,aETHc,1
1,0xa258c4606ca8206d8aa700ce2143d7db854d168c,yvWETH,1
2,0x3f948349daab5607c8ec3e7a6cdca9f825aa8e1c,BOT-X,1
1,0xd42d085f108f53aa3028cd0ed4e2436f07e7ee88,FALKWON,1
2,0x8419721412da63076b4556247a028e93ab51f9f4,STRDLS,1
3,0xe3d0fe9b7e0b951663267a3ed1e6577f6f79757e,GMC,1
2,0x32ddbb0fc65bb53e1f7d6dc1c2a713e9a695b75b,MAC,1
1,0x34f0915a5f15a66eba86f6a58be1a471fb7836a7,PLSD,1
2,0xa8d334c9cf7fc57eba51bf4d98bd880cb16a0de8,PEA,1
1,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,1
1,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,TRIBE,1
1,0x467bccd9d29f223bce8043b84e8c8b282827790f,TEL,1
2,0xcd220a52ef3ebba585a0f562ad881da735f65a98,LND,1
2,0x29652c2e9d3656434bc8133c69258c8d05290f41,FROGGY,1
2,0x19b86299c21505cdf59ce63740b240a9c822b5e4,TOONZ,1
2,0x5660e206496808f7b5cdb8c56a696a96ae5e9b23,PNNFI,1
1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,MANA,1
2,0xc878671ff88f1374d2186127573e4a63931370fc,LOSMUERTOS,1
1,0xa782f61f775579d3b15c6fe73b9e1b4cc6b3a3c7,LUSK,1
1,0xc631be100f6cf9a7012c23de5a6ccb990eafc133,BTFA,1
1,0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9,WRLD,1
1,0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b,RLY,1
1,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,MLN,1
1,0x80c62fe4487e1351b47ba49809ebd60ed085bf52,CLV,1
1,0x4021df64ec3ec7480271fd76bcecd79d9853f638,BLUNA,1
1,0x3a0b022f32b3191d44e5847da12dc0b63fb07c91,SPELLFIRE,1
1,0xd38bb40815d2b0c2d2c866e0c72c5728ffc76dd9,SIS,1
2,0x5ff0a71977584d9cbe5d5f56e9843cd672672ddd,WOC,1
2,0xe77c4e5e17ea350993cac2eb48bb50dbcccc956b,ETREE,1
3,0x28472a58a490c5e09a238847f66a68a47cc76f0f,ADI,1
2,0x838804a3dd7c717396a68f94e736eaf76b911632,ZEN,1
2,0x0c2e57efddba8c768147d1fdf9176a0a6ebd5d83,KAIJU,1
3,0x6fad73936527d2a82aea5384d252462941b44042,FLUF World: Scenes and Sounds,1
2,0x8bea2b168fb0e5935bd251b1bccb142fed006171,MKB,1
2,0x3903d4ffaaa700b62578a66e7a67ba4cb67787f9,QRKS,1
1,0x875773784af8135ea0ef43b5a374aad105c5d39e,IDLE,1
1,0xde72a052cbb212eff11a4a33d61df9c5a2de8dd1,SHUNAV2,1
2,0x4b1e130ae84c97b931ffbe91ead6b1da16993d45,BABIES,1
1,0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,eRSDL,1
2,0xe11829861f54b62b7c013b248b534f45d25f4035,HBB2,1
2,0x7cae7b9b9a235d1d94102598e1f23310a0618914,CROAKZ,1
2,0x58169d34e9298761f97a06cf9ba5f4b134e268b9,MkayBears,1
1,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,ALCX,1
1,0x8185bc4757572da2a610f887561c32298f1a5748,ALN,1
2,0x5b2b1212777262bdbf277263fafa36ebd8a3e90f,EMG,1
2,0x89d92a754fd1a672c21b5fc2a347198d1a9456b3,fA,1
2,0x0cfb5d82be2b949e8fa73a656df91821e2ad99fd,10KTF,1
1,0x4d47e959b2bda037cc72a90a3ff2f030a2c3ede9,$ACB,1
1,0x24b875e2fba7d8bb37776a77298f36f9e04b7b4f,UNI-V2,1
1,0x6adb2e268de2aa1abf6578e4a8119b960e02928f,ShibDoge,1
1,0xab167e816e4d76089119900e941befdfa37d6b32,SHINJA,1
2,0x50b45ebed0d68f4483932923e08808b3e98dabaa,XH,1
2,0x76236b6f13f687d0bbedbbce0e30e9f07d071c1c,RVPCG,1
2,0xa9c454abac6fd0d177af04c92bfd0445c2a99eed,DI,1
1,0xab05cf7c6c3a288cd36326e4f7b8600e7268e344,bnBNT,1
1,0xaaaaaa20d9e0e2461697782ef11675f668207961,AURORA,1
1,0x5660c518c5610493086a3ba550f7ad6eb7935d1e,SSLP,1
2,0x5519f5c7f5902ea0dcf5dd374a6c8d997850321a,ETCPFP,1
1,0x881ba05de1e78f549cc63a8f6cabb1d4ad32250d,00,1
1,0x2c72692e94e757679289ac85d3556b2c0f717e0e,ePyvDAI-29APR22,1
1,0xda816459f1ab5631232fe5e97a05bbbb94970c95,yvDAI,1
2,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,CloneX,1
1,0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,1
1,0xa774ffb4af6b0a91331c084e1aebae6ad535e6f3,flexUSD,1
1,0xf411903cbc70a74d22900a5de66a2dda66507255,VRA,1
1,0xa87135285ae208e22068acdbff64b11ec73eaa5a,eLunr,1
2,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SUPR,1
1,0xc666081073e8dff8d3d1c2292a29ae1a2153ec09,DGTX,1
2,0x71224fb5865f5e560760965ef85de6b83ea57163,OkayApes,1
1,0x08e0faff8bb80eaf8c30a99920355028b5bd6789,RIC,1
1,0x95a4492f028aa1fd432ea71146b433e7b4446611,APY,1
2,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,PPG,1
1,0x4a5b3d0004454988c50e8de1bcfc921ee995ade3,wXEQ,1
2,0xb20217bf3d89667fa15907971866acd6ccd570c8,PC3D,1
2,0xfe8c6d19365453d26af321d0e8c910428c23873f,CBC,1
2,0x52f7dca46ffe4f269e8cbb6cb1e18606f642e5b8,PRNR,1
2,0x573ca38eb1353a0e8507be82ec6111f0af1f1e02,SKY_NFT,1
1,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,SRM,1
2,0x19bb64b80cbf61e61965b0e5c2560cc7364c6546,CREYZIES,1
2,0x05e7f2499ff153fea2f20bbde0b5584c911c0af1,SOMETHING,1
2,0x12622b71aa62a595be0f65009264de3fe3dbc7aa,BOY,1
3,0x085c091b71b9d77b8f52f073d738ce805dec369b,ARBO-A,1
1,0xa4bbe66f151b22b167127c770016b15ff97dd35c,UMBR,1
2,0x845a007d9f283614f403a24e3eb3455f720559ca,CNP,1
2,0xd2ba76997ac5de5c5a98c6c6054c9f2a40a482a1,BURNHOLLYWOODBURNOPENEDITIONBYDOTPIGEON,1
2,0x9d7caf9ff78b1edad4500bccfb8e52ffc15dafce,EG,1
3,0x11dd2bfb64d5e5ecf5a7b0a5c5e187e56220f903,UNISHP,1
1,0x7121d00b4fa18f13da6c2e30d19c04844e6afdc8,LUFFY,1
2,0x2b841d4b7ca08d45cc3de814de08850dc3008c43,SKULL,1
2,0x2ee6af0dff3a1ce3f7e3414c52c48fd50d73691e,BAYC,1
1,0x1b37392207512f5fa8812a3991cc0308107e6995,ROBBY,1
1,0xbc19712feb3a26080ebf6f2f7849b417fdd792ca,BORING,1
1,0x8064d9ae6cdf087b1bcd5bdf3531bd5d8c537a68,oBTC,1
1,0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,1
1,0x7355efc63ae731f584380a9838292c7046c1e433,A-WETH-LP,1
1,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJ,1
1,0xc29acac647c63dbd8618e817d41ea9de69174ae1,NRGY,1
1,0x63c95d51220f9d4b2c1d997a949776c16abaf2d0,SBT,1
1,0x298d492e8c1d909d3f63bc4a36c66c64acb3d695,PBR,1
1,0x0def8d8adde14c9ef7c2a986df3ea4bd65826767,CLIQ,1
1,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,BZZ,1
2,0xe39fb076bd6be0bbf400db0dfad28104fdc5ff46,PACA 3D,1
1,0x5fe8c486b5f216b9ad83c12958d8a03eb3fd5060,OIL,1
2,0x1d3ada5856b14d9df178ea5cab137d436dc55f1d,DBC,1
2,0x8d609bd201beaea7dccbfbd9c22851e23da68691,DARCEL,1
2,0xf20f4a5028a8e8e5692bd6fafd06f594f52848d3,SMR,1
2,0x1c457b7672995e7f3464fe0536b3d59cddaafecd,PHOTO,1
1,0x6e9ace0ef177b11bd185194f78f1f2dd6fd4c054,FDKWON,1
1,0x05732b6d78591e75b31022d71e55aa810498a5a4,SHiBGOTCHi,1
1,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,OVR,1
2,0x811a7e762dcda16b3bbab0dc4b792e0dc5606bc7,BBHC,1
3,0xa5ddee84ae576b24d49b0387aac2ae087b90ff39,Unicorns,1
1,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,STORJ,1
2,0x6d4873f49561a2cd206de3914cc91c90a145903e,HASH,1
2,0x792496a3f678187e59e1d1d5e075799cd1e124c2,SQUISH,1
2,0x1eed2902355612f8cee08289fc4ae2772d5bc161,KAIIF,1
1,0xdacd69347de42babfaecd09dc88958378780fb62,ATRI,1
1,0xf59257e961883636290411c11ec5ae622d19455e,FLOOR,1
1,0x374fb05c96c36348b92e38fb088b26b8511e3b3d,CWD,1
1,0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX,1
1,0x441761326490cacf7af299725b6292597ee822c2,UNFI,1
1,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,POLS,1
1,0x18aaa7115705e8be94bffebde57af9bfc265b998,AUDIO,1
